name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
Bacon-Wrapped Scallops with Chili Butter,"2 pounds Large Scallops
1/2 pound Bacon, Cut Into Thirds Or Halves
1 stick Butter
2 teaspoons Chili Powder
 Dash Of Cayenne",http://thepioneerwoman.com/cooking/2012/01/bacon-wrapped-scallops-with-chili-butter/,http://static.thepioneerwoman.com/cooking/files/2012/01/scallops.jpg,PT20M,8,2012-01-19,PT15M,"I made these beautiful, tasty little suckers before Christmas and am only just now recovering from the bliss so I can tell yo...",Medium
Spicy Stewed Beef with Creamy Cheddar Grits,"2 Tablespoons Canola Oil
2 Tablespoons Butter
3 pounds Stew Meat Or Diced Chuck Roast
1 can (11 Ounces) Chipotle Peppers In Adobo Sauce
4 cups Low-sodium Beef Broth, More If Needed
5 cloves Minced Garlic
1 Tablespoon Cumin
2 teaspoons Chili Powder
1 whole Onion, Diced
1 whole Red Bell Pepper
3 whole Chilies (any Variety, Hot Or Mild)
4 cups Stone Ground Grits
6 cups Low Sodium Chicken (or Beef) Broth
3 cups Water
2 cups Half-and-half
2 cups Grated Cheddar Cheese",http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,PT3H,12,2012-01-30,PT20M,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines...",Hard
Vegetarian Lettuce Wraps,"2 teaspoons Peanut Or Olive Oil
1 package (about 12-14 Oz. Size) Firm Tofu
2 ears Corn (or 1 1/2 Cups Frozen Corn Kernels)
1/4 teaspoon Chili Powder (more To Taste)
1/4 cup Soy Sauce
 Romaine Lettuce Hearts
2 whole Avocados, Sliced
1 teaspoon Balsamic Vinegar (optional)",http://thepioneerwoman.com/cooking/2012/02/vegetarian-lettuce-wraps/,http://static.thepioneerwoman.com/cooking/files/2012/02/wraps.jpg,PT15M,6,2012-02-22,PT5M,"Today is Ash Wednesday, the beginning of Lent, and I'd like to share this exceedingly meatless treat with you that I've been ...",Easy
Grillin’ Recipe Contest Winners!,"4 whole Ribeye, Hanger, Flat Iron, Or Strip Steaks
1/2 teaspoon Ground Nutmeg
1/2 teaspoon Ground Cumin
1 teaspoon Ground Cinnamon
1 teaspoon Ground Ginger
2 Tablespoons Chili Powder
1/2 teaspoon Ground Turmeric
2 Tablespoons Garlic Salt
1 cup Olive Oil
2 cans Bush's Grillin Beans Steakhouse Recipe",http://thepioneerwoman.com/cooking/2012/05/grillin-recipe-contest-winners/,http://static.thepioneerwoman.com/cooking/files/2012/05/bushs41.jpg,PT5M,4,2012-05-17,PT10M,"Before I share my fourth and final grilling recipe, I’m busting at the seams to announce the winners of the Bush’s Grilli...",Easy
Spicy Beans,"4 cups Dry Pinto Beans
1 whole Ham Hock
1 whole Onion, Diced
2 whole Red Bell Peppers, Diced
4 cloves Garlic, Minced
2 whole Jalapenos, Sliced
2 teaspoons Salt, More To Taste
2 teaspoons Chili Powder (optional)
2 teaspoons Black Pepper, More To Taste",http://thepioneerwoman.com/cooking/2011/08/spicy-beans/,http://static.thepioneerwoman.com/cooking/files/2011/08/6005198000_e154cac62e_o.jpg,PT4H,12,2011-08-04,PT5M,"My name is Pioneer Woman and I love beans.     Hi, Pioneer Woman.     Sorry. It's true, though. A big pot of brown beans simm...",Hard
Frito Chili Pie,"2 pounds Ground Chuck
3 cloves Garlic, Minced (optional)
1 can (12 To 14 Ounce) Tomato Sauce
1 can (10 Ounce) Ro-tel (diced Tomatoes And Chilies)
1/2 teaspoon Salt
1 teaspoon Ground Oregano
1 Tablespoon Ground Cumin
2 Tablespoons Chili Powder (more To Taste)
1 can (14-ounce) Kidney Beans, Drained And Rinsed
1 can (14-ounce) Pinto Beans, Drained And Rinsed
1/4 cup Masa (corn Flour) Or Regular Corn Meal
1/2 cup Warm Water
 Individual Bags Of Fritos
 Grated Sharp Cheddar Cheese
 Diced Red Onion (Optional)",http://thepioneerwoman.com/cooking/2011/09/frito-chili-pie/,http://static.thepioneerwoman.com/cooking/files/2011/09/TPW_1850.jpg,PT1H,8,2011-09-26,PT5M,"We're submerged in football right now. There's no other way to put it. Marlboro Man is coaching my two boys' football team, M...",Hard
Caveman Pops (aka Roasted Turkey Legs),"10 whole Turkey Legs
 BRINE:
4 quarts Water
1 cup Kosher Salt
1 cup Sugar
1 cup Brown Sugar
2 Tablespoons Seasoning Blend (I Used Montreal)
1 whole Bay Leaf
 Dry Rub
2 Tablespoons Chili Powder (less If You Don't Like Things Too Spicy!)
2 teaspoons Seasoning Blend (I Used Montreal)
2 teaspoons Paprika
2 teaspoons Onion Salt",http://thepioneerwoman.com/cooking/2011/10/caveman-pops-aka-roasted-turkey-legs/,http://static.thepioneerwoman.com/cooking/files/2011/10/caveman.jpg,PT30M,10,2011-10-17,PT6H,"While a few state fairs are happening right now, the one in my state (as is the case with many others) has drawn to a close. ...",Hard
Beef with Peppers,"1-1/2 pound Flank Steak, Sliced Very Thin Against The Grain
1/2 cup Low Sodium Soy Sauce
3 Tablespoons Sherry
2 Tablespoons Packed Brown Sugar
2 Tablespoons Cornstarch
1 Tablespoon Minced Fresh Ginger
2 cloves Garlic, Minced
1 teaspoon Red Chile Paste (or A Few Dashes Red Chile Oil)
2 Tablespoons Canola Oil
1 whole Medium Yellow Onion, Sliced
2 whole Red Bell Peppers, Cored And Sliced Into Rings
1 Tablespoon Diced Fresh Jalapeno (or 1 Teaspoon Dice Hot Pepper)
 Red Pepper Flakes, For Sprinkling
 Cilantro Leaves",http://thepioneerwoman.com/cooking/2011/03/beef-with-peppers/,http://static.thepioneerwoman.com/cooking/files/2011/03/5572969276_8f4385a0e2_o.jpg,PT15M,8,2011-03-30,PT15M,"I could eat beef stir fry every day of the week. I had a major hankering for it last night, and decided to throw together a v...",Medium
Beef Noodle Salad Bowls,"1 whole Sirloin Steak, 3/4 To 1 Pound
 Kosher Salt To Taste
3/4 cups Ponzo Or Regular Soy Sauce
3 Tablespoons Pure Sesame Oil
2 Tablespoons Olive Oil
2 Tablespoons Rice Wine Vinegar
1 teaspoon Hot Chili Oil (less If You Can't Handle Heat!)
2 cloves Garlic, Peeled And Minced Finely
2 teaspoons Minced Fresh Ginger
2 Tablespoons Packed Brown Sugar
1/2 cup Sliced Green Onion
8 ounces, weight Thin Noodles (I Used Thin Spaghetti)
 Cilantro Leaves",http://thepioneerwoman.com/cooking/2011/05/beef-noodle-salad-bowls/,http://static.thepioneerwoman.com/cooking/files/2011/05/5712043212_092a8fe85d_o.jpg,PT10M,4,2011-05-12,PT10M,At the salad supper I attended a couple of weeks ago--the one that gave birth to this chicken salad I made recently--four sal...,Easy
Beef and Bean Burritos,"2 pounds Ground Beef
1/2 whole Medium Onion
1 can (7 Ounce) Mexican Tomato Sauce Or Enchilada Sauce
 Salt And Pepper, to taste
 Cumin, Oregano, Chili Powder, Garlic To Taste
1 can (28 Ounce) Refried Beans
3/4 cups Grated Cheddar Cheese
12 whole Burrito-sized Flour Tortillas
 Extra Grated Cheese, For Sprinkling
 Extra Sauce, For Drizzling
 Cilantro Leaves, Optional
 Optional Filling Ingredients: Mexican Rice, Sour Cream, Guacamole, Green Chilies, Pico De Gallo",http://thepioneerwoman.com/cooking/2010/07/brown-hot-and-plenty-of-it-vol-i/,http://static.thepioneerwoman.com/cooking/files/2010/07/4784959605_c5713e9e4b_b.jpg,PT11M,6,2010-07-12,PT5M,"First, an important clarification: The Pioneer Woman Cooks is not meant to be an encyclopedia of innovative gourmet recipes. ...",Easy
